Javadoc coverage metrics,terça, 21 nov. 2023 21:43:07 WET
Method,JLOC
net.sf.freecol.client.gui.option.StringOptionUI.updateOption(),3
"net.sf.freecol.client.gui.option.TextOptionUI.TextOptionUI(TextOption, boolean)",7
net.sf.freecol.client.gui.option.TextOptionUI.getComponent(),3
net.sf.freecol.client.gui.option.TextOptionUI.reset(),3
net.sf.freecol.client.gui.option.TextOptionUI.updateOption(),3
"net.sf.freecol.client.gui.option.UnitTypeOptionUI.ChoiceRenderer.setLabelValues(JLabel, UnitType)",3
"net.sf.freecol.client.gui.option.UnitTypeOptionUI.UnitTypeOptionUI(UnitTypeOption, boolean)",8
net.sf.freecol.client.gui.option.UnitTypeOptionUI.getComponent(),3
net.sf.freecol.client.gui.option.UnitTypeOptionUI.reset(),3
net.sf.freecol.client.gui.option.UnitTypeOptionUI.updateOption(),3
net.sf.freecol.client.gui.panel.AboutPanel.AboutPanel(FreeColClient),5
net.sf.freecol.client.gui.panel.AboutPanel.actionPerformed(ActionEvent),7
net.sf.freecol.client.gui.panel.BuildQueuePanel.BuildQueueMouseAdapter.BuildQueueMouseAdapter(boolean),0
net.sf.freecol.client.gui.panel.BuildQueuePanel.BuildQueueMouseAdapter.mousePressed(MouseEvent),3
"net.sf.freecol.client.gui.panel.BuildQueuePanel.BuildQueuePanel(FreeColClient, Colony)",6
net.sf.freecol.client.gui.panel.BuildQueuePanel.BuildQueueTransferHandler.BuildablesTransferable.BuildablesTransferable(List<IndexedBuildable>),5
net.sf.freecol.client.gui.panel.BuildQueuePanel.BuildQueueTransferHandler.BuildablesTransferable.getBuildables(),5
net.sf.freecol.client.gui.panel.BuildQueuePanel.BuildQueueTransferHandler.BuildablesTransferable.getTransferData(DataFlavor),3
net.sf.freecol.client.gui.panel.BuildQueuePanel.BuildQueueTransferHandler.BuildablesTransferable.getTransferDataFlavors(),3
net.sf.freecol.client.gui.panel.BuildQueuePanel.BuildQueueTransferHandler.BuildablesTransferable.isDataFlavorSupported(DataFlavor),3
"net.sf.freecol.client.gui.panel.BuildQueuePanel.BuildQueueTransferHandler.canImport(JComponent, DataFlavor[])",3
net.sf.freecol.client.gui.panel.BuildQueuePanel.BuildQueueTransferHandler.createTransferable(JComponent),3
"net.sf.freecol.client.gui.panel.BuildQueuePanel.BuildQueueTransferHandler.exportDone(JComponent, Transferable, int)",3
net.sf.freecol.client.gui.panel.BuildQueuePanel.BuildQueueTransferHandler.getSourceActions(JComponent),3
"net.sf.freecol.client.gui.panel.BuildQueuePanel.BuildQueueTransferHandler.importData(JComponent, Transferable)",3
net.sf.freecol.client.gui.panel.BuildQueuePanel.DefaultBuildQueueCellRenderer.DefaultBuildQueueCellRenderer(),0
"net.sf.freecol.client.gui.panel.BuildQueuePanel.DefaultBuildQueueCellRenderer.getListCellRendererComponent(JList<? extends BuildableType>, BuildableType, int, boolean, boolean)",3
"net.sf.freecol.client.gui.panel.BuildQueuePanel.IndexedBuildable.IndexedBuildable(BuildableType, int)",0
net.sf.freecol.client.gui.panel.BuildQueuePanel.IndexedBuildable.getBuildable(),0
net.sf.freecol.client.gui.panel.BuildQueuePanel.IndexedBuildable.getIndex(),0
net.sf.freecol.client.gui.panel.BuildQueuePanel.actionPerformed(ActionEvent),3
"net.sf.freecol.client.gui.panel.BuildQueuePanel.checkAbilities(BuildableType, List<String>)",0
net.sf.freecol.client.gui.panel.BuildQueuePanel.convertJComp(JComponent),8
net.sf.freecol.client.gui.panel.BuildQueuePanel.getBuildableTypes(JList<? extends BuildableType>),0
net.sf.freecol.client.gui.panel.BuildQueuePanel.getColony(),5
net.sf.freecol.client.gui.panel.BuildQueuePanel.getMaximumIndex(BuildableType),0
net.sf.freecol.client.gui.panel.BuildQueuePanel.getMinimumIndex(BuildableType),0
net.sf.freecol.client.gui.panel.BuildQueuePanel.hasBuildingType(BuildingType),7
net.sf.freecol.client.gui.panel.BuildQueuePanel.itemStateChanged(ItemEvent),8
net.sf.freecol.client.gui.panel.BuildQueuePanel.removeBuildable(Object),0
net.sf.freecol.client.gui.panel.BuildQueuePanel.setBuyLabel(BuildableType),0
net.sf.freecol.client.gui.panel.BuildQueuePanel.updateAllLists(),5
net.sf.freecol.client.gui.panel.BuildQueuePanel.updateBuildingList(),9
net.sf.freecol.client.gui.panel.BuildQueuePanel.updateCompact(boolean),0
net.sf.freecol.client.gui.panel.BuildQueuePanel.updateDetailView(),3
net.sf.freecol.client.gui.panel.BuildQueuePanel.updateLists(boolean),0
net.sf.freecol.client.gui.panel.BuildQueuePanel.updateUnitList(),9
"net.sf.freecol.client.gui.panel.BuildingPanel.BuildingPanel(FreeColClient, Building)",6
net.sf.freecol.client.gui.panel.BuildingPanel.UpkeepLabel.UpkeepLabel(int),5
net.sf.freecol.client.gui.panel.BuildingPanel.UpkeepLabel.paintComponent(Graphics),3
net.sf.freecol.client.gui.panel.BuildingPanel.addPropertyChangeListeners(),3
net.sf.freecol.client.gui.panel.BuildingPanel.cleanup(),3
net.sf.freecol.client.gui.panel.BuildingPanel.createToolTip(),3
net.sf.freecol.client.gui.panel.BuildingPanel.getBuilding(),5
net.sf.freecol.client.gui.panel.BuildingPanel.getImageLibrary(),0
net.sf.freecol.client.gui.panel.BuildingPanel.getUnitLabels(),5
net.sf.freecol.client.gui.panel.BuildingPanel.initialize(),3
net.sf.freecol.client.gui.panel.BuildingPanel.paintComponent(Graphics),3
net.sf.freecol.client.gui.panel.BuildingPanel.propertyChange(PropertyChangeEvent),7
net.sf.freecol.client.gui.panel.BuildingPanel.removePropertyChangeListeners(),3
net.sf.freecol.client.gui.panel.BuildingPanel.update(),3
"net.sf.freecol.client.gui.panel.CargoPanel.CargoPanel(FreeColClient, boolean)",6
net.sf.freecol.client.gui.panel.CargoPanel.accepts(Goods),3
net.sf.freecol.client.gui.panel.CargoPanel.accepts(Unit),3
"net.sf.freecol.client.gui.panel.CargoPanel.add(Component, boolean)",3
net.sf.freecol.client.gui.panel.CargoPanel.addPropertyChangeListeners(),0
net.sf.freecol.client.gui.panel.CargoPanel.cleanup(),3
net.sf.freecol.client.gui.panel.CargoPanel.getCarrier(),5
net.sf.freecol.client.gui.panel.CargoPanel.initialize(),3
net.sf.freecol.client.gui.panel.CargoPanel.isActive(),5
net.sf.freecol.client.gui.panel.CargoPanel.propertyChange(PropertyChangeEvent),0
net.sf.freecol.client.gui.panel.CargoPanel.remove(Component),3
net.sf.freecol.client.gui.panel.CargoPanel.removeNotify(),3
net.sf.freecol.client.gui.panel.CargoPanel.removePropertyChangeListeners(),0
net.sf.freecol.client.gui.panel.CargoPanel.setCarrier(Unit),5
net.sf.freecol.client.gui.panel.CargoPanel.suggested(GoodsType),3
net.sf.freecol.client.gui.panel.CargoPanel.update(),3
net.sf.freecol.client.gui.panel.CargoPanel.updateTitle(),3
net.sf.freecol.client.gui.panel.ChatPanel.ChatPanel(FreeColClient),5
net.sf.freecol.client.gui.panel.ChatPanel.actionPerformed(ActionEvent),3
net.sf.freecol.client.gui.panel.ChatPanel.getChatText(),6
net.sf.freecol.client.gui.panel.ChatPanel.requestFocus(),3
net.sf.freecol.client.gui.panel.ColonyPanel.BuildingsPanel.ASingleBuildingPanel.ASingleBuildingPanel(Building),6
net.sf.freecol.client.gui.panel.ColonyPanel.BuildingsPanel.ASingleBuildingPanel.accepts(Goods),3
net.sf.freecol.client.gui.panel.ColonyPanel.BuildingsPanel.ASingleBuildingPanel.accepts(GoodsType),3
net.sf.freecol.client.gui.panel.ColonyPanel.BuildingsPanel.ASingleBuildingPanel.accepts(Unit),3
"net.sf.freecol.client.gui.panel.ColonyPanel.BuildingsPanel.ASingleBuildingPanel.add(Component, boolean)",3
net.sf.freecol.client.gui.panel.ColonyPanel.BuildingsPanel.ASingleBuildingPanel.cleanup(),3
net.sf.freecol.client.gui.panel.ColonyPanel.BuildingsPanel.ASingleBuildingPanel.initialize(),3
net.sf.freecol.client.gui.panel.ColonyPanel.BuildingsPanel.ASingleBuildingPanel.propertyChange(PropertyChangeEvent),3
net.sf.freecol.client.gui.panel.ColonyPanel.BuildingsPanel.ASingleBuildingPanel.suggested(GoodsType),3
net.sf.freecol.client.gui.panel.ColonyPanel.BuildingsPanel.ASingleBuildingPanel.tryWork(Unit),6
net.sf.freecol.client.gui.panel.ColonyPanel.BuildingsPanel.ASingleBuildingPanel.update(),3
net.sf.freecol.client.gui.panel.ColonyPanel.BuildingsPanel.BuildingsPanel(),3
net.sf.freecol.client.gui.panel.ColonyPanel.BuildingsPanel.cleanup(),3
net.sf.freecol.client.gui.panel.ColonyPanel.BuildingsPanel.initialize(),3
net.sf.freecol.client.gui.panel.ColonyPanel.BuildingsPanel.removeNotify(),3
net.sf.freecol.client.gui.panel.ColonyPanel.BuildingsPanel.update(),3
net.sf.freecol.client.gui.panel.ColonyPanel.ColonyCargoPanel.ColonyCargoPanel(FreeColClient),5
net.sf.freecol.client.gui.panel.ColonyPanel.ColonyCargoPanel.update(),3
net.sf.freecol.client.gui.panel.ColonyPanel.ColonyInPortPanel.ColonyInPortPanel(),3
net.sf.freecol.client.gui.panel.ColonyPanel.ColonyInPortPanel.accepts(Unit),3
net.sf.freecol.client.gui.panel.ColonyPanel.ColonyInPortPanel.addPropertyChangeListeners(),3
net.sf.freecol.client.gui.panel.ColonyPanel.ColonyInPortPanel.initialize(),3
net.sf.freecol.client.gui.panel.ColonyPanel.ColonyInPortPanel.removePropertyChangeListeners(),3
net.sf.freecol.client.gui.panel.ColonyPanel.ColonyInPortPanel.selectLabel(),3
"net.sf.freecol.client.gui.panel.ColonyPanel.ColonyPanel(FreeColClient, Colony)",6
net.sf.freecol.client.gui.panel.ColonyPanel.OutsideColonyPanel.OutsideColonyPanel(),3
net.sf.freecol.client.gui.panel.ColonyPanel.OutsideColonyPanel.accepts(Goods),3
net.sf.freecol.client.gui.panel.ColonyPanel.OutsideColonyPanel.accepts(GoodsType),3
net.sf.freecol.client.gui.panel.ColonyPanel.OutsideColonyPanel.accepts(Unit),3
"net.sf.freecol.client.gui.panel.ColonyPanel.OutsideColonyPanel.add(Component, boolean)",3
net.sf.freecol.client.gui.panel.ColonyPanel.OutsideColonyPanel.addPropertyChangeListeners(),3
net.sf.freecol.client.gui.panel.ColonyPanel.OutsideColonyPanel.cleanup(),3
net.sf.freecol.client.gui.panel.ColonyPanel.OutsideColonyPanel.initialize(),3
net.sf.freecol.client.gui.panel.ColonyPanel.OutsideColonyPanel.removePropertyChangeListeners(),3
net.sf.freecol.client.gui.panel.ColonyPanel.OutsideColonyPanel.selectLabel(),3
net.sf.freecol.client.gui.panel.ColonyPanel.OutsideColonyPanel.suggested(GoodsType),3
net.sf.freecol.client.gui.panel.ColonyPanel.PopulationPanel.PopulationPanel(),3
net.sf.freecol.client.gui.panel.ColonyPanel.PopulationPanel.cleanup(),3
net.sf.freecol.client.gui.panel.ColonyPanel.PopulationPanel.createToolTip(),6
net.sf.freecol.client.gui.panel.ColonyPanel.PopulationPanel.initialize(),3
net.sf.freecol.client.gui.panel.ColonyPanel.PopulationPanel.removeNotify(),3
net.sf.freecol.client.gui.panel.ColonyPanel.PopulationPanel.update(),3
"net.sf.freecol.client.gui.panel.ColonyPanel.TilesPanel.ASingleTilePanel.ASingleTilePanel(ColonyTile, int, int)",7
net.sf.freecol.client.gui.panel.ColonyPanel.TilesPanel.ASingleTilePanel.accepts(Unit),3
"net.sf.freecol.client.gui.panel.ColonyPanel.TilesPanel.ASingleTilePanel.add(Component, boolean)",3
net.sf.freecol.client.gui.panel.ColonyPanel.TilesPanel.ASingleTilePanel.addPropertyChangeListeners(),3
net.sf.freecol.client.gui.panel.ColonyPanel.TilesPanel.ASingleTilePanel.cleanup(),3
"net.sf.freecol.client.gui.panel.ColonyPanel.TilesPanel.ASingleTilePanel.contains(int, int)",8
net.sf.freecol.client.gui.panel.ColonyPanel.TilesPanel.ASingleTilePanel.getColonyTile(),5
net.sf.freecol.client.gui.panel.ColonyPanel.TilesPanel.ASingleTilePanel.initialize(),3
net.sf.freecol.client.gui.panel.ColonyPanel.TilesPanel.ASingleTilePanel.propertyChange(PropertyChangeEvent),5
net.sf.freecol.client.gui.panel.ColonyPanel.TilesPanel.ASingleTilePanel.removePropertyChangeListeners(),3
net.sf.freecol.client.gui.panel.ColonyPanel.TilesPanel.ASingleTilePanel.tryWork(Unit),6
net.sf.freecol.client.gui.panel.ColonyPanel.TilesPanel.ASingleTilePanel.update(),3
net.sf.freecol.client.gui.panel.ColonyPanel.TilesPanel.ASingleTilePanel.updateDescriptionLabel(UnitLabel),8
net.sf.freecol.client.gui.panel.ColonyPanel.TilesPanel.TilesPanel(),3
net.sf.freecol.client.gui.panel.ColonyPanel.TilesPanel.cleanup(),3
net.sf.freecol.client.gui.panel.ColonyPanel.TilesPanel.initialize(),3
net.sf.freecol.client.gui.panel.ColonyPanel.TilesPanel.paintComponent(Graphics),3
"net.sf.freecol.client.gui.panel.ColonyPanel.TilesPanel.showPoorProduction(WorkLocation, StringTemplate)",6
net.sf.freecol.client.gui.panel.ColonyPanel.TilesPanel.update(),3
net.sf.freecol.client.gui.panel.ColonyPanel.WarehousePanel.WarehousePanel(),3
net.sf.freecol.client.gui.panel.ColonyPanel.WarehousePanel.accepts(Goods),3
net.sf.freecol.client.gui.panel.ColonyPanel.WarehousePanel.accepts(GoodsType),3
net.sf.freecol.client.gui.panel.ColonyPanel.WarehousePanel.accepts(Unit),3
"net.sf.freecol.client.gui.panel.ColonyPanel.WarehousePanel.add(Component, boolean)",3
net.sf.freecol.client.gui.panel.ColonyPanel.WarehousePanel.addPropertyChangeListeners(),3
net.sf.freecol.client.gui.panel.ColonyPanel.WarehousePanel.cleanup(),3
net.sf.freecol.client.gui.panel.ColonyPanel.WarehousePanel.initialize(),3
net.sf.freecol.client.gui.panel.ColonyPanel.WarehousePanel.propertyChange(PropertyChangeEvent),3
net.sf.freecol.client.gui.panel.ColonyPanel.WarehousePanel.removeNotify(),3
net.sf.freecol.client.gui.panel.ColonyPanel.WarehousePanel.removePropertyChangeListeners(),3
net.sf.freecol.client.gui.panel.ColonyPanel.WarehousePanel.suggested(GoodsType),3
net.sf.freecol.client.gui.panel.ColonyPanel.WarehousePanel.update(),3
net.sf.freecol.client.gui.panel.ColonyPanel.actionPerformed(ActionEvent),3
net.sf.freecol.client.gui.panel.ColonyPanel.addMouseListeners(),0
net.sf.freecol.client.gui.panel.ColonyPanel.addPropertyChangeListeners(),3
net.sf.freecol.client.gui.panel.ColonyPanel.cleanup(),3
net.sf.freecol.client.gui.panel.ColonyPanel.closeColonyPanel(),3
net.sf.freecol.client.gui.panel.ColonyPanel.generateColonyUnitsMenu(),4
net.sf.freecol.client.gui.panel.ColonyPanel.getColony(),9
net.sf.freecol.client.gui.panel.ColonyPanel.getTilesPanel(),5
net.sf.freecol.client.gui.panel.ColonyPanel.getTilesScrollGuiScaledDimension(),0
net.sf.freecol.client.gui.panel.ColonyPanel.getUnitList(),6
net.sf.freecol.client.gui.panel.ColonyPanel.getWarehousePanel(),5
net.sf.freecol.client.gui.panel.ColonyPanel.initialize(Colony),9
net.sf.freecol.client.gui.panel.ColonyPanel.propertyChange(PropertyChangeEvent),3
net.sf.freecol.client.gui.panel.ColonyPanel.removeMouseListeners(),0
net.sf.freecol.client.gui.panel.ColonyPanel.removeNotify(),3
net.sf.freecol.client.gui.panel.ColonyPanel.removePropertyChangeListeners(),3
net.sf.freecol.client.gui.panel.ColonyPanel.setColony(Colony),5
net.sf.freecol.client.gui.panel.ColonyPanel.setSelectedUnit(Unit),3
net.sf.freecol.client.gui.panel.ColonyPanel.setSelectedUnitLabel(UnitLabel),3
net.sf.freecol.client.gui.panel.ColonyPanel.setTransferHandlers(boolean),0
"net.sf.freecol.client.gui.panel.ColonyPanel.tryWork(Unit, WorkLocation)",7
net.sf.freecol.client.gui.panel.ColonyPanel.update(),3
net.sf.freecol.client.gui.panel.ColonyPanel.updateBuildingsPanel(),0
net.sf.freecol.client.gui.panel.ColonyPanel.updateCarrierButtons(),4
net.sf.freecol.client.gui.panel.ColonyPanel.updateConstructionPanel(),0
net.sf.freecol.client.gui.panel.ColonyPanel.updateInPortPanel(),0
net.sf.freecol.client.gui.panel.ColonyPanel.updateNetProductionPanel(),0
net.sf.freecol.client.gui.panel.ColonyPanel.updateOutsideColonyPanel(),0
net.sf.freecol.client.gui.panel.ColonyPanel.updatePopulationPanel(),0
net.sf.freecol.client.gui.panel.ColonyPanel.updateProduction(),10
net.sf.freecol.client.gui.panel.ColonyPanel.updateTilesPanel(),0
net.sf.freecol.client.gui.panel.ColonyPanel.updateWarehousePanel(),0
net.sf.freecol.client.gui.panel.ColorCellEditor.ColorCellEditor(FreeColClient),6
net.sf.freecol.client.gui.panel.ColorCellEditor.actionPerformed(ActionEvent),3
net.sf.freecol.client.gui.panel.ColorCellEditor.getCellEditorValue(),3
"net.sf.freecol.client.gui.panel.ColorCellEditor.getTableCellEditorComponent(JTable, Object, boolean, int, int)",3
net.sf.freecol.client.gui.panel.ColorCellRenderer.ColorCellRenderer(boolean),5
"net.sf.freecol.client.gui.panel.ColorCellRenderer.getTableCellRendererComponent(JTable, Object, boolean, boolean, int, int)",3
"net.sf.freecol.client.gui.panel.ColorChooserPanel.ColorChooserPanel(FreeColClient, ActionListener)",7
net.sf.freecol.client.gui.panel.ColorChooserPanel.getColor(),0
net.sf.freecol.client.gui.panel.ColorChooserPanel.removeNotify(),3
"net.sf.freecol.client.gui.panel.ConstructionPanel.ConstructionPanel(FreeColClient, Colony, boolean)",9
net.sf.freecol.client.gui.panel.ConstructionPanel.cleanup(),3
net.sf.freecol.client.gui.panel.ConstructionPanel.getDefaultLabel(),3
net.sf.freecol.client.gui.panel.ConstructionPanel.initialize(),3
net.sf.freecol.client.gui.panel.ConstructionPanel.propertyChange(PropertyChangeEvent),5
net.sf.freecol.client.gui.panel.ConstructionPanel.setDefaultLabel(StringTemplate),5
net.sf.freecol.client.gui.panel.ConstructionPanel.update(),6
net.sf.freecol.client.gui.panel.ConstructionPanel.update(BuildableType),12
net.sf.freecol.client.gui.panel.CornerMapControls.CornerMapControls(FreeColClient),13
net.sf.freecol.client.gui.panel.CornerMapControls.MiniMapPanelSkin.MiniMapPanelSkin(),0
net.sf.freecol.client.gui.panel.CornerMapControls.MiniMapPanelSkin.paintComponent(Graphics),0
"net.sf.freecol.client.gui.panel.CornerMapControls.calculateFirstPosition(Dimension, List<UnitButton>, int, Dimension)",0
"net.sf.freecol.client.gui.panel.CornerMapControls.calculateTotalDimension(List<UnitButton>, int)",0
"net.sf.freecol.client.gui.panel.CornerMapControls.centerComponentOnCoordinate(JComponent, PropertyList, String)",0
net.sf.freecol.client.gui.panel.CornerMapControls.getComponentsPresent(),3
net.sf.freecol.client.gui.panel.CornerMapControls.getComponentsToAdd(Dimension),3
"net.sf.freecol.client.gui.panel.CornerMapControls.layoutUnitButtons(List<UnitButton>, Dimension, Point, int)",0
net.sf.freecol.client.gui.panel.CornerMapControls.updateLayoutIfNeeded(),3
"net.sf.freecol.client.gui.panel.DeclarationPanel.DeclarationPanel(FreeColClient, Runnable)",6
net.sf.freecol.client.gui.panel.DeclarationPanel.SignaturePanel.SignaturePanel(),0
net.sf.freecol.client.gui.panel.DeclarationPanel.SignaturePanel.addActionListener(ActionListener),8
net.sf.freecol.client.gui.panel.DeclarationPanel.SignaturePanel.getAbbreviatedName(String),8
net.sf.freecol.client.gui.panel.DeclarationPanel.SignaturePanel.initialize(String),5
net.sf.freecol.client.gui.panel.DeclarationPanel.SignaturePanel.isTooLarge(String),8
net.sf.freecol.client.gui.panel.DeclarationPanel.SignaturePanel.notifyStopped(),0
net.sf.freecol.client.gui.panel.DeclarationPanel.SignaturePanel.paintComponent(Graphics),3
"net.sf.freecol.client.gui.panel.DeclarationPanel.SignaturePanel.scaleToInt(double, float)",0
net.sf.freecol.client.gui.panel.DeclarationPanel.SignaturePanel.startAnimation(),7
net.sf.freecol.client.gui.panel.DeclarationPanel.actionPerformed(ActionEvent),3
net.sf.freecol.client.gui.panel.DeclarationPanel.closePanel(),0
net.sf.freecol.client.gui.panel.DeclarationPanel.paintComponent(Graphics),3
"net.sf.freecol.client.gui.panel.DefaultTransferHandler.DefaultTransferHandler(FreeColClient, FreeColPanel)",6
net.sf.freecol.client.gui.panel.DefaultTransferHandler.FreeColDragGestureRecognizer.FreeColDragGestureRecognizer(DragGestureListener),0
"net.sf.freecol.client.gui.panel.DefaultTransferHandler.FreeColDragGestureRecognizer.gestured(JComponent, MouseEvent, int, int)",0
net.sf.freecol.client.gui.panel.DefaultTransferHandler.FreeColDragGestureRecognizer.registerListeners(),3
net.sf.freecol.client.gui.panel.DefaultTransferHandler.FreeColDragGestureRecognizer.unregisterListeners(),3
net.sf.freecol.client.gui.panel.DefaultTransferHandler.FreeColDragHandler.dragDropEnd(DragSourceDropEvent),3
net.sf.freecol.client.gui.panel.DefaultTransferHandler.FreeColDragHandler.dragEnter(DragSourceDragEvent),3
net.sf.freecol.client.gui.panel.DefaultTransferHandler.FreeColDragHandler.dragExit(DragSourceEvent),3
net.sf.freecol.client.gui.panel.DefaultTransferHandler.FreeColDragHandler.dragGestureRecognized(DragGestureEvent),3
net.sf.freecol.client.gui.panel.DefaultTransferHandler.FreeColDragHandler.dragOver(DragSourceDragEvent),3
net.sf.freecol.client.gui.panel.DefaultTransferHandler.FreeColDragHandler.dropActionChanged(DragSourceDragEvent),3
net.sf.freecol.client.gui.panel.DefaultTransferHandler.FreeColDragHandler.getCursor(JComponent),6
"net.sf.freecol.client.gui.panel.DefaultTransferHandler.FreeColDragHandler.updatePartialChosen(JComponent, boolean)",0
"net.sf.freecol.client.gui.panel.DefaultTransferHandler.canImport(JComponent, DataFlavor[])",3
net.sf.freecol.client.gui.panel.DefaultTransferHandler.createTransferable(JComponent),3
"net.sf.freecol.client.gui.panel.DefaultTransferHandler.equipUnitIfPossible(UnitLabel, AbstractGoods)",0
"net.sf.freecol.client.gui.panel.DefaultTransferHandler.exportAsDrag(JComponent, InputEvent, int)",3
"net.sf.freecol.client.gui.panel.DefaultTransferHandler.getAmount(GoodsType, int, int, boolean)",10
net.sf.freecol.client.gui.panel.DefaultTransferHandler.getDropTarget(JComponent),0
net.sf.freecol.client.gui.panel.DefaultTransferHandler.getSourceActions(JComponent),3
"net.sf.freecol.client.gui.panel.DefaultTransferHandler.importData(JComponent, Transferable)",12
"net.sf.freecol.client.gui.panel.DefaultTransferHandler.importFail(JComponent, String)",7
"net.sf.freecol.client.gui.panel.DefaultTransferHandler.importGoods(JComponent, GoodsLabel, UnitLabel)",9
"net.sf.freecol.client.gui.panel.DefaultTransferHandler.importGoodsType(JComponent, GoodsTypeLabel)",7
"net.sf.freecol.client.gui.panel.DefaultTransferHandler.importMarket(JComponent, MarketLabel)",7
"net.sf.freecol.client.gui.panel.DefaultTransferHandler.importUnit(JComponent, UnitLabel, UnitLabel)",9
net.sf.freecol.client.gui.panel.DefaultTransferHandler.restoreSelection(UnitLabel),0
"net.sf.freecol.client.gui.panel.DragListener.DragListener(FreeColClient, FreeColPanel)",7
net.sf.freecol.client.gui.panel.DragListener.mousePressed(MouseEvent),6
net.sf.freecol.client.gui.panel.DropListener.mouseReleased(MouseEvent),6
net.sf.freecol.client.gui.panel.DropTarget.accepts(Goods),6
net.sf.freecol.client.gui.panel.DropTarget.accepts(GoodsType),6
net.sf.freecol.client.gui.panel.DropTarget.accepts(Unit),6
net.sf.freecol.client.gui.panel.DropTarget.suggested(GoodsType),7
net.sf.freecol.client.gui.panel.ErrorPanel.ErrorPanel(FreeColClient),5
"net.sf.freecol.client.gui.panel.ErrorPanel.ErrorPanel(FreeColClient, String)",6
net.sf.freecol.client.gui.panel.ErrorPanel.actionPerformed(ActionEvent),3
net.sf.freecol.client.gui.panel.EuropePanel.DestinationPanel.accepts(Goods),3
net.sf.freecol.client.gui.panel.EuropePanel.DestinationPanel.accepts(GoodsType),3
net.sf.freecol.client.gui.panel.EuropePanel.DestinationPanel.accepts(Unit),3
"net.sf.freecol.client.gui.panel.EuropePanel.DestinationPanel.add(Component, boolean)",3
net.sf.freecol.client.gui.panel.EuropePanel.DestinationPanel.cleanup(),3
net.sf.freecol.client.gui.panel.EuropePanel.DestinationPanel.initialize(Location),6
net.sf.freecol.client.gui.panel.EuropePanel.DestinationPanel.suggested(GoodsType),3
net.sf.freecol.client.gui.panel.EuropePanel.DestinationPanel.update(),3
"net.sf.freecol.client.gui.panel.EuropePanel.EuropeButton.EuropeButton(String, int, String, ActionListener)",0
net.sf.freecol.client.gui.panel.EuropePanel.EuropeInPortPanel.EuropeInPortPanel(),0
net.sf.freecol.client.gui.panel.EuropePanel.EuropeInPortPanel.accepts(Unit),3
net.sf.freecol.client.gui.panel.EuropePanel.EuropeInPortPanel.addPropertyChangeListeners(),3
net.sf.freecol.client.gui.panel.EuropePanel.EuropeInPortPanel.removePropertyChangeListeners(),3
"net.sf.freecol.client.gui.panel.EuropePanel.EuropePanel(FreeColClient, boolean)",6
net.sf.freecol.client.gui.panel.EuropePanel.EuropeanDocksPanel.EuropeanDocksPanel(),0
net.sf.freecol.client.gui.panel.EuropePanel.EuropeanDocksPanel.accepts(Goods),3
net.sf.freecol.client.gui.panel.EuropePanel.EuropeanDocksPanel.accepts(GoodsType),3
net.sf.freecol.client.gui.panel.EuropePanel.EuropeanDocksPanel.accepts(Unit),3
"net.sf.freecol.client.gui.panel.EuropePanel.EuropeanDocksPanel.add(Component, boolean)",3
net.sf.freecol.client.gui.panel.EuropePanel.EuropeanDocksPanel.addPropertyChangeListeners(),3
net.sf.freecol.client.gui.panel.EuropePanel.EuropeanDocksPanel.remove(Component),3
net.sf.freecol.client.gui.panel.EuropePanel.EuropeanDocksPanel.removePropertyChangeListeners(),3
net.sf.freecol.client.gui.panel.EuropePanel.EuropeanDocksPanel.selectLabel(),3
net.sf.freecol.client.gui.panel.EuropePanel.EuropeanDocksPanel.suggested(GoodsType),3
net.sf.freecol.client.gui.panel.EuropePanel.MarketPanel.MarketPanel(EuropePanel),5
net.sf.freecol.client.gui.panel.EuropePanel.MarketPanel.accepts(Goods),3
net.sf.freecol.client.gui.panel.EuropePanel.MarketPanel.accepts(GoodsType),3
net.sf.freecol.client.gui.panel.EuropePanel.MarketPanel.accepts(Unit),3
"net.sf.freecol.client.gui.panel.EuropePanel.MarketPanel.add(Component, boolean)",3
net.sf.freecol.client.gui.panel.EuropePanel.MarketPanel.cleanup(),3
net.sf.freecol.client.gui.panel.EuropePanel.MarketPanel.initialize(),3
net.sf.freecol.client.gui.panel.EuropePanel.MarketPanel.remove(Component),3
net.sf.freecol.client.gui.panel.EuropePanel.TransactionLog.TransactionLog(),3
net.sf.freecol.client.gui.panel.EuropePanel.TransactionLog.add(String),5
net.sf.freecol.client.gui.panel.EuropePanel.TransactionLog.cleanup(),3
net.sf.freecol.client.gui.panel.EuropePanel.TransactionLog.initialize(),3
"net.sf.freecol.client.gui.panel.EuropePanel.TransactionLog.logPurchase(GoodsType, int, int)",3
"net.sf.freecol.client.gui.panel.EuropePanel.TransactionLog.logSale(GoodsType, int, int, int)",3
net.sf.freecol.client.gui.panel.EuropePanel.cleanup(),3
net.sf.freecol.client.gui.panel.EuropePanel.exitAction(),3
net.sf.freecol.client.gui.panel.EuropePanel.getUnitList(),5
net.sf.freecol.client.gui.panel.EuropePanel.initialize(Europe),5
net.sf.freecol.client.gui.panel.EuropePanel.refresh(),3
net.sf.freecol.client.gui.panel.EuropePanel.removeNotify(),3
net.sf.freecol.client.gui.panel.EuropePanel.requestFocus(),3
net.sf.freecol.client.gui.panel.EuropePanel.sailAction(),3
